,age,assists,club,goals,handle,id,matches,minutes,minutes_per_goal,p_name,position,transfer_fee_pounds,transfer_status
576,23,1,Stoke City,2,victor-moses,59866,10,490,245,Victor Moses,Right Wing,£6.80m,in
577,18,0,Stoke City,0,keiran-monlouis,307014,8,404,0,Keiran Monlouis,Midfield,-,in
578,21,0,Stoke City,0,elliot-wheeler,227946,28,2.516,0,Elliot Wheeler,Right-Back,-,in
579,26,1,Stoke City,1,ryan-shotton,92109,16,1.440,1.440,Ryan Shotton,Right-Back,£850k,in
580,18,0,Stoke City,0,jake-cook,264367,2,133,0,Jake Cook,Right-Back,-,in
581,24,0,Stoke City,0,jamie-ness,61012,2,38,0,Jamie Ness,Central Midfield,£425k,in
582,30,1,Stoke City,0,robert-huth,2998,10,897,0,Robert Huth,Centre-Back,£4.25m,in
583,16,1,Stoke City,0,oliver-shenton,335541,8,699,0,Oliver Shenton,Attacking Midfield,-,in
586,19,0,Stoke City,3,james-alabi,223261,15,1.130,377,James Alabi,Centre-Forward,-,in
587,21,0,Stoke City,1,alex-grant,225068,4,360,360,Alex Grant,Centre-Back,-,in
588,21,4,Stoke City,7,juan-agudelo,131171,24,1.349,193,Juan Agudelo,Centre-Forward,£850k,in
589,28,0,Stoke City,0,michael-kightly,25366,3,94,0,Michael Kightly,Left Wing,£2.30m,out
590,28,4,Stoke City,6,cameron-jerome,35855,15,1.327,221,Cameron Jerome,Centre-Forward,£1.28m,out
591,24,2,Stoke City,3,brek-shea,71107,27,2.002,667,Brek Shea,Left-Back,£850k,out
592,23,0,Stoke City,0,jamie-ness,61012,2,38,0,Jamie Ness,Central Midfield,£425k,out
593,20,0,Stoke City,1,alex-grant,225068,4,360,360,Alex Grant,Centre-Back,-,out
594,30,1,Stoke City,0,andy-wilkinson,13616,123,9.028,0,Andy Wilkinson,Right-Back,£850k,out
595,19,0,Stoke City,3,james-alabi,223261,15,1.130,377,James Alabi,Centre-Forward,-,out
597,32,31,Stoke City,21,matthew-etherington,3788,288,19.818,944,Matthew Etherington,Left Midfield,£1.28m,out
598,20,0,Stoke City,0,ben-glasgow,173601,10,855,0,Ben Glasgow,Right-Back,-,out
600,19,0,Stoke City,0,tom-king,175734,3,25,0,Tom King,Centre-Back,-,out
601,25,1,Stoke City,1,ryan-shotton,92109,16,1.440,1.440,Ryan Shotton,Right-Back,£850k,out
602,24,1,Stoke City,2,victor-moses,59866,10,490,245,Victor Moses,Right Wing,£6.38m,out
603,20,1,Stoke City,1,lucas-dawson,145484,15,929,929,Lucas Dawson,Central Midfield,-,out
604,21,4,Stoke City,7,juan-agudelo,131171,24,1.349,193,Juan Agudelo,Centre-Forward,£850k,out
605,23,1,Sunderland AFC,0,jack-rodwell,57079,8,639,0,Jack Rodwell,Defensive Midfield,£10.20m,in
606,24,0,Sunderland AFC,0,will-buckley,77329,6,139,0,Will Buckley,Right Wing,£1.28m,in
607,23,0,Sunderland AFC,2,patrick-van-aanholt,52119,10,793,397,Patrick van Aanholt,Left-Back,£2.98m,in
608,26,2,Sunderland AFC,0,ricardo-alvarez,76077,9,552,0,Ricardo Álvarez,Attacking Midfield,£12.33m,in
609,27,0,Sunderland AFC,0,billy-jones,36866,4,234,0,Billy Jones,Right-Back,£2.13m,in
611,29,0,Sunderland AFC,2,jordi-gomez,39010,9,565,283,Jordi Gómez,Attacking Midfield,£2.13m,in
612,23,1,Sunderland AFC,3,sebastian-coates,102427,10,900,300,Sebastián Coates,Centre-Back,£2.13m,in
613,34,15,Sunderland AFC,6,anthony-reveillere,5668,426,36.153,6.026,Anthony Réveillère,Right-Back,£255k,in
614,20,2,Sunderland AFC,6,mikael-mandron,218144,19,1.446,241,Mikael Mandron,Centre-Forward,-,in
619,25,7,Sunderland AFC,17,cabral,33046,19,,1.710,Cabral,Defensive Midfield,£850k,in
620,24,0,Sunderland AFC,0,alfred-ndiaye,77737,5,105,0,Alfred N'Diaye,Defensive Midfield,£4.25m,in
621,27,2,Sunderland AFC,3,modibo-diakite,41749,109,8.023,2.674,Modibo Diakité,Centre-Back,£1.70m,in
622,24,0,Sunderland AFC,0,alfred-ndiaye,77737,5,105,0,Alfred N'Diaye,Defensive Midfield,£3.40m,out
623,29,0,Sunderland AFC,4,ignacio-scocco,51088,6,464,116,Ignacio Scocco,Centre-Forward,£3.83m,out
624,20,2,Sunderland AFC,1,david-moberg-karlsson,63422,23,1.313,1.313,David Moberg Karlsson,Right Wing,£850k,out
625,32,0,Sunderland AFC,0,carlos-cuellar,16576,9,750,0,Carlos Cuéllar,Centre-Back,£1.28m,out
627,27,1,Sunderland AFC,0,craig-gardner,37171,7,193,0,Craig Gardner,Central Midfield,£3.83m,out
628,20,0,Sunderland AFC,0,scott-harrison,204114,10,672,0,Scott Harrison,Centre-Back,-,out
629,21,0,Sunderland AFC,3,john-egan,121324,16,1.440,480,John Egan,Centre-Back,-,out
631,31,0,Sunderland AFC,0,david-vaughan,14178,4,277,0,David Vaughan,Defensive Midfield,£1.45m,out
632,21,0,Sunderland AFC,0,el-hadji-ba,169090,4,277,0,El-Hadji Ba,Defensive Midfield,-,out
633,29,0,Sunderland AFC,0,phil-bardsley,15773,8,605,0,Phil Bardsley,Right-Back,£2.55m,out
634,21,1,Sunderland AFC,1,louis-laing,110865,13,1.149,1.149,Louis Laing,Centre-Back,-,out
635,27,2,Sunderland AFC,3,modibo-diakite,41749,109,8.023,2.674,Modibo Diakité,Centre-Back,£1.70m,out
638,21,1,Sunderland AFC,0,jordan-watson,121349,14,888,0,Jordan Watson,Left-Back,-,out
639,24,0,Sunderland AFC,0,jack-colback,61644,10,597,0,Jack Colback,Defensive Midfield,£3.83m,out
641,19,2,Sunderland AFC,7,jordan-laidler,196313,25,1.830,261,Jordan Laidler,Centre-Forward,-,out
642,27,0,Sunderland AFC,0,valentin-roberge,87422,10,855,0,Valentin Roberge,Centre-Back,£1.28m,out
643,24,1,Sunderland AFC,3,sebastian-coates,102427,10,900,300,Sebastián Coates,Centre-Back,£1.28m,out
644,32,12,Sunderland AFC,5,andrea-dossena,21863,180,12.777,2.555,Andrea Dossena,Left-Back,£1.28m,out
645,25,0,Sunderland AFC,0,ondrej-celustka,70131,10,900,0,Ondrej Celustka,Centre-Back,£2.13m,out
646,23,1,Sunderland AFC,1,marcos-alonso,112515,6,485,485,Marcos Alonso,Left-Back,£1.70m,out
647,24,3,Swansea City,2,gylfi-sigurdsson,90466,11,897,449,Gylfi Sigurdsson,Attacking Midfield,£6.80m,in
648,25,0,Swansea City,0,federico-fernandez,85475,6,540,0,Federico Fernández,Centre-Back,£4.25m,in
649,24,0,Swansea City,0,jefferson-montero,77932,5,160,0,Jefferson Montero,Left Wing,£2.81m,in
650,21,2,Swansea City,0,modou-barrow,189070,11,702,0,Modou Barrow,Right Wing,£213k,in
651,26,3,Swansea City,3,marvin-emnes,37787,11,766,255,Marvin Emnes,Centre-Forward,£1.28m,in
652,28,1,Swansea City,6,bafetimbi-gomis,22388,11,954,159,Bafetimbi Gomis,Centre-Forward,£8.50m,in
654,19,0,Swansea City,0,stephen-kingsley,184398,7,585,0,Stephen Kingsley,Left-Back,£170k,in
655,22,0,Swansea City,0,tom-carroll,121279,2,151,0,Tom Carroll,Central Midfield,£1.70m,in
656,22,2,Swansea City,0,modou-barrow,189070,11,702,0,Modou Barrow,Right Wing,£850k,in
657,20,0,Swansea City,0,scott-tancock,197833,8,590,0,Scott Tancock,Centre-Back,-,in
658,23,0,Swansea City,1,rory-donnelly,164389,10,346,346,Rory Donnelly,Centre-Forward,-,in
659,20,0,Swansea City,0,liam-shephard,197910,9,763,0,Liam Shephard,Right-Back,-,in
660,17,1,Swansea City,0,keston-davies,250730,8,720,0,Keston Davies,Centre-Back,-,in
661,32,6,Swansea City,2,alan-tate,7337,128,10.727,5.364,Alan Tate,Centre-Back,£425k,in
662,19,0,Swansea City,3,ryan-hedges,326230,15,1.251,417,Ryan Hedges,Right Wing,-,in
663,29,6,Swansea City,4,dwight-tiendalli,29356,160,12.276,3.069,Dwight Tiendalli,Right-Back,£850k,in
665,24,0,Swansea City,0,jazz-richards,120241,8,676,0,Jazz Richards,Right-Back,£425k,in
666,20,0,Swansea City,0,stephen-kingsley,184398,7,585,0,Stephen Kingsley,Left-Back,£425k,in
667,21,0,Swansea City,0,ben-davies,192765,4,283,0,Ben Davies,Left-Back,£4.68m,out
669,29,2,Swansea City,2,pablo-hernandez,46220,12,1.015,508,Pablo Hernández,Right Wing,£6.80m,out
670,27,0,Swansea City,0,chico,51681,4,360,0,Chico,Centre-Back,£5.53m,out
671,28,0,Swansea City,0,michu,70789,10,616,0,Michu,Secondary Striker,£10.20m,out
672,32,6,Swansea City,2,alan-tate,7337,128,10.727,5.364,Alan Tate,Centre-Back,£425k,out
673,22,4,Swansea City,2,alejandro-pozuelo,188853,13,1.130,565,Alejandro Pozuelo,Attacking Midfield,£1.70m,out
674,29,15,Swansea City,53,leroy-lita,20975,170,11.557,218,Leroy Lita,Centre-Forward,£638k,out
675,27,0,Swansea City,0,jose-alberto-canas,69609,7,580,0,José Alberto Cañas,Defensive Midfield,£3.83m,out
676,25,3,Swansea City,1,curtis-obeng,125467,29,2.559,2.559,Curtis Obeng,Right-Back,£213k,out
677,22,0,Swansea City,0,daniel-alfei,130216,6,540,0,Daniel Alfei,Right-Back,-,out
678,22,0,Swansea City,0,darnel-situ,111059,1,23,0,Darnel Situ,Centre-Back,£213k,out
679,25,0,Swansea City,1,david-ngog,41242,8,82,82,David N'Gog,Centre-Forward,£1.28m,out
680,20,0,Swansea City,0,scott-tancock,197833,8,590,0,Scott Tancock,Centre-Back,-,out
681,21,5,Swansea City,1,jernade-meade,126195,28,2.473,2.473,Jernade Meade,Left-Back,-,out
682,23,0,Swansea City,0,tom-carroll,121279,2,151,0,Tom Carroll,Central Midfield,£2.55m,out
683,26,0,Swansea City,0,jonathan-de-guzman,31067,6,143,0,Jonathan de Guzmán,Attacking Midfield,£7.65m,out
684,26,3,Swansea City,3,marvin-emnes,37787,11,766,255,Marvin Emnes,Centre-Forward,£1.28m,out
685,23,0,Swansea City,0,alvaro-vazquez,141835,2,104,0,Álvaro Vázquez,Centre-Forward,£2.55m,out
686,26,3,Swansea City,7,roland-lamah,35035,63,3.735,534,Roland Lamah,Left Wing,£2.13m,out
687,21,0,Tottenham Hotspur,0,ben-davies,192765,4,283,0,Ben Davies,Left-Back,£4.68m,in
688,27,0,Tottenham Hotspur,0,federico-fazio,45314,11,846,0,Federico Fazio,Centre-Back,£6.80m,in
689,24,0,Tottenham Hotspur,0,benjamin-stambouli,127160,7,267,0,Benjamin Stambouli,Defensive Midfield,£4.25m,in
691,20,0,Tottenham Hotspur,0,eric-dier,175722,10,721,0,Eric Dier,Defensive Midfield,£2.98m,in
692,21,3,Tottenham Hotspur,1,deandre-yedlin,255916,9,488,488,DeAndre Yedlin,Right-Back,£213k,in
693,22,2,Tottenham Hotspur,0,alex-pritchard,200777,7,343,0,Alex Pritchard,Attacking Midfield,£850k,in
694,23,0,Tottenham Hotspur,0,grant-hall,124845,12,1.025,0,Grant Hall,Centre-Back,£85k,in
695,19,0,Tottenham Hotspur,3,dele-alli,207929,10,802,267,Dele Alli,Central Midfield,£4.25m,in
696,19,1,Tottenham Hotspur,0,ruben-lameiras,264848,12,671,0,Ruben Lameiras,Right Midfield,-,in
697,22,0,Tottenham Hotspur,0,ryan-fredericks,140191,3,220,0,Ryan Fredericks,Right-Back,£213k,in
698,28,0,Tottenham Hotspur,0,aaron-lennon,14221,3,47,0,Aaron Lennon,Right Wing,£7.65m,in
699,28,0,Tottenham Hotspur,0,bongani-khumalo,82215,3,181,0,Bongani Khumalo,Centre-Back,£638k,in
700,23,0,Tottenham Hotspur,0,tom-carroll,121279,2,151,0,Tom Carroll,Central Midfield,£2.55m,in
701,19,0,Tottenham Hotspur,0,milos-veljkovic,202228,4,240,0,Milos Veljkovic,Centre-Back,£213k,in
702,20,0,Tottenham Hotspur,2,shaq-coulthirst,251829,10,492,246,Shaq Coulthirst,Secondary Striker,-,in
703,19,0,Tottenham Hotspur,1,tomislav-gomelt,210983,5,334,334,Tomislav Gomelt,Central Midfield,-,in
704,21,0,Tottenham Hotspur,0,cristian-ceballos,166640,9,637,0,Cristian Ceballos,Left Wing,£255k,in
705,24,3,Tottenham Hotspur,5,iago-falque,59340,9,697,139,Iago Falqué,Right Wing,£1.53m,in
706,24,3,Tottenham Hotspur,2,gylfi-sigurdsson,90466,11,897,449,Gylfi Sigurdsson,Attacking Midfield,£6.80m,out
707,25,0,Tottenham Hotspur,3,sandro,74590,2,180,60,Sandro,Defensive Midfield,£9.35m,out
708,24,1,Tottenham Hotspur,0,jake-livermore,61832,11,940,0,Jake Livermore,Defensive Midfield,£2.13m,out
709,30,0,Tottenham Hotspur,1,michael-dawson,9988,3,270,270,Michael Dawson,Centre-Back,£5.53m,out
710,21,1,Tottenham Hotspur,0,zeki-fryers,141655,4,103,0,Zeki Fryers,Left-Back,£2.13m,out
711,23,0,Tottenham Hotspur,0,lewis-holtby,55508,7,606,0,Lewis Holtby,Central Midfield,£6.38m,out
712,24,3,Tottenham Hotspur,5,iago-falque,59340,9,697,139,Iago Falqué,Right Wing,£1.53m,out
713,23,0,Tottenham Hotspur,2,jonathan-obika,61838,7,577,289,Jonathan Obika,Centre-Forward,-,out
715,21,2,Tottenham Hotspur,4,cameron-lancaster,182660,26,968,242,Cameron Lancaster,Centre-Forward,-,out
716,19,0,Tottenham Hotspur,2,shaq-coulthirst,251829,10,492,246,Shaq Coulthirst,Secondary Striker,-,out
717,20,0,Tottenham Hotspur,0,kevin-stewart,200782,4,16,0,Kevin Stewart,Defensive Midfield,£43k,out
718,21,0,Tottenham Hotspur,0,ryan-fredericks,140191,3,220,0,Ryan Fredericks,Right-Back,-,out
719,22,0,Tottenham Hotspur,0,grant-hall,124845,12,1.025,0,Grant Hall,Centre-Back,-,out
720,21,2,Tottenham Hotspur,0,alex-pritchard,200777,7,343,0,Alex Pritchard,Attacking Midfield,£128k,out
721,19,0,Tottenham Hotspur,0,milos-veljkovic,202228,4,240,0,Milos Veljkovic,Centre-Back,-,out
722,19,1,Tottenham Hotspur,0,roman-michael-percil,264179,4,87,0,Roman Michael-Percil,Right-Back,-,out
724,22,0,Tottenham Hotspur,0,tom-carroll,121279,2,151,0,Tom Carroll,Central Midfield,£1.70m,out
725,19,0,Tottenham Hotspur,1,tomislav-gomelt,210983,5,334,334,Tomislav Gomelt,Central Midfield,-,out
726,21,3,Tottenham Hotspur,1,deandre-yedlin,255916,9,488,488,DeAndre Yedlin,Right-Back,£213k,out
727,25,2,West Bromwich Albion,7,brown-ideye,64308,8,642,92,Brown Ideye,Centre-Forward,£5.95m,in
728,24,0,West Bromwich Albion,0,cristian-gamboa,121686,4,229,0,Cristian Gamboa,Right-Back,£850k,in
729,26,0,West Bromwich Albion,0,sebastian-blanco,54576,7,583,0,Sebastián Blanco,Attacking Midfield,£5.10m,in
730,26,0,West Bromwich Albion,0,sebastien-pocognoli,17804,3,99,0,Sébastien Pocognoli,Left-Back,£2.13m,in
731,31,0,West Bromwich Albion,0,joleon-lescott,4241,4,360,0,Joleon Lescott,Centre-Back,£5.95m,in
732,32,0,West Bromwich Albion,0,chris-baird,4115,5,198,0,Chris Baird,Defensive Midfield,£595k,in
733,21,0,West Bromwich Albion,0,andre-wisdom,128912,3,210,0,Andre Wisdom,Right-Back,£2.13m,in
734,27,1,West Bromwich Albion,0,craig-gardner,37171,7,193,0,Craig Gardner,Central Midfield,£3.83m,in
735,29,0,West Bromwich Albion,2,georgios-samaras,6855,16,930,465,Georgios Samaras,Left Wing,£2.55m,in
736,29,0,West Bromwich Albion,0,silvestre-varela,31316,2,55,0,Silvestre Varela,Left Wing,£6.38m,in
737,23,1,West Bromwich Albion,0,jason-davidson,137669,9,692,0,Jason Davidson,Left-Back,£340k,in
738,21,0,West Bromwich Albion,0,liam-oneil,141349,6,519,0,Liam O'Neil,Defensive Midfield,-,in
739,17,0,West Bromwich Albion,0,reiss-greenidge,265231,1,12,0,Reiss Greenidge,Centre-Back,-,in
740,28,1,West Bromwich Albion,4,graham-dorrans,36608,11,990,248,Graham Dorrans,Central Midfield,£1.70m,in
741,21,0,West Bromwich Albion,0,donervon-daniels,199522,1,13,0,Donervon Daniels,Centre-Back,£85k,in
742,22,1,West Bromwich Albion,0,scott-allan,60904,8,384,0,Scott Allan,Central Midfield,£425k,in
743,21,1,West Bromwich Albion,0,george-thorne,128910,8,384,0,George Thorne,Defensive Midfield,£850k,out
744,35,0,West Bromwich Albion,1,zoltan-gera,18324,13,1.125,1.125,Zoltán Gera,Central Midfield,£850k,out
745,27,0,West Bromwich Albion,0,billy-jones,36866,4,234,0,Billy Jones,Right-Back,£2.13m,out
746,33,12,West Bromwich Albion,8,steven-reid,7330,192,13.561,1.695,Steven Reid,Right-Back,£850k,out
747,22,1,West Bromwich Albion,0,scott-allan,60904,8,384,0,Scott Allan,Central Midfield,£425k,out
748,18,0,West Bromwich Albion,0,reiss-greenidge,265231,1,12,0,Reiss Greenidge,Centre-Back,-,out
749,29,0,West Bromwich Albion,1,liam-ridgewell,4070,22,1.980,1.980,Liam Ridgewell,Left-Back,£2.55m,out
750,21,2,West Bromwich Albion,1,cameron-gayle,141341,32,2.481,2.481,Cameron Gayle,Right-Back,-,out
751,20,0,West Bromwich Albion,0,donervon-daniels,199522,1,13,0,Donervon Daniels,Centre-Back,-,out
752,22,0,West Bromwich Albion,0,andre-wisdom,128912,3,210,0,Andre Wisdom,Right-Back,£5.10m,out
753,-,0,West Bromwich Albion,0,reece-hayes,284752,5,218,0,Reece Hayes,Attacking Midfield,-,out
754,33,0,West Bromwich Albion,2,diego-lugano,13829,12,1.080,540,Diego Lugano,Centre-Back,£850k,out
755,29,0,West Bromwich Albion,0,goran-popov,19721,1,90,0,Goran Popov,Left-Back,£1.28m,out
756,22,0,West Bromwich Albion,1,thievy-bifouma,181477,10,478,478,Thievy Bifouma,Centre-Forward,£2.55m,out
757,29,0,West Bromwich Albion,0,morgan-amalfitano,39883,10,567,0,Morgan Amalfitano,Right Wing,£4.25m,out
758,22,0,West Bromwich Albion,2,matej-vydra,101500,11,775,388,Matej Vydra,Centre-Forward,£4.25m,out
759,24,0,West Ham United,0,enner-valencia,139503,6,246,0,Enner Valencia,Centre-Forward,£1.36m,in
760,24,0,West Ham United,0,cheikhou-kouyate,66934,11,990,0,Cheikhou Kouyaté,Defensive Midfield,£5.95m,in
761,24,0,West Ham United,0,diafra-sakho,120610,11,990,0,Diafra Sakho,Centre-Forward,£2.55m,in
762,24,1,West Ham United,0,aaron-cresswell,92571,3,258,0,Aaron Cresswell,Left-Back,£1.28m,in
763,29,0,West Ham United,0,morgan-amalfitano,39883,10,567,0,Morgan Amalfitano,Right Wing,£4.04m,in
764,26,3,West Ham United,0,alex-song,27394,9,637,0,Alex Song,Defensive Midfield,£11.90m,in
765,27,0,West Ham United,0,mauro-zarate,26456,3,55,0,Mauro Zárate,Secondary Striker,£3.40m,in
766,19,0,West Ham United,0,diego-poyet,183286,46,3.823,0,Diego Poyet,Central Midfield,£425k,in
767,22,0,West Ham United,0,carl-jenkinson,126321,1,90,0,Carl Jenkinson,Right-Back,£5.10m,in
769,21,0,West Ham United,0,doneil-henry,157907,4,132,0,Doneil Henry,Centre-Back,£425k,in
770,21,0,West Ham United,18,sean-maguire,191320,30,2.468,137,Sean Maguire,Centre-Forward,-,in
771,20,0,West Ham United,18,sean-maguire,191320,30,2.468,137,Sean Maguire,Centre-Forward,-,in
772,21,2,West Ham United,2,paul-mccallum,214776,11,680,340,Paul McCallum,Centre-Forward,£43k,in
773,19,0,West Ham United,0,elliot-lee,229826,3,22,0,Elliot Lee,Centre-Forward,-,in
774,28,0,West Ham United,0,mauro-zarate,26456,3,55,0,Mauro Zárate,Secondary Striker,£2.98m,in
775,20,0,West Ham United,0,elliot-lee,229826,3,22,0,Elliot Lee,Centre-Forward,-,in
